review_bucket,metric,median
1,files_changed,1.0
1,additions,8.0
1,deletions,2.0
1,lines_changed,13.0
1,description_length,385.5
1,review_count,1.0
1,comment_count,1.0
1,participants,2.0
1,analysis_time_hours,100.53375
2-3,files_changed,2.0
2-3,additions,26.0
2-3,deletions,3.0
2-3,lines_changed,39.0
2-3,description_length,580.0
2-3,review_count,2.0
2-3,comment_count,2.0
2-3,participants,3.0
2-3,analysis_time_hours,107.95722222222224
4+,files_changed,4.0
4+,additions,104.0
4+,deletions,10.0
4+,lines_changed,134.0
4+,description_length,833.0
4+,review_count,6.0
4+,comment_count,4.0
4+,participants,3.0
4+,analysis_time_hours,241.90194444444444
